userName,score,at,content
Pisang naga Daeng,1,2023-06-04 02:26:55,Popquest nya selalu error pas di mainin sangat ganggu harus klik2 mulu..study nya jg jarang bnget muncul.bintang 1 dulu klo udh di benerin baru saya ubah bintang nya.oke
Rina Amoy,1,2023-05-30 02:59:33,"Selalu di tolak studi alesan karna saya jawab mengasal ,sedangkan tidak di beri tau bagian mana yg salah dan ngasal. Aneh aplikasi apa ini😑"
FUZI SLEBBOR OfficiaL,1,2023-05-29 00:04:30,"Populix makin di update makin eror.mau mulai studi,malah keluar sendiri,ikutan klik polling juga logout sendiri.lah gimna mau ngerjain studi klo begini.semenjak di-update beberapa Minggu lalu, makin kesni makin eror.gak bisa sama sekali akses studi ataupun polling.mau email ke adminnya juga gak bisa, email salah trs.beda kaya Populix dlu,yg mudah diakses.perbaiki segera biar rating juga baik ka.klo begini auto uninstall."
Fitri Ratnasari,5,2023-05-24 02:21:01,"Aplikasi yang bagus untuk nambah jajan, adminnya pun ramah dan cepat tanggap recommend to try it. Thanks"
Nandi Ginola,5,2023-05-23 22:57:59,Aplikasi ini bagus banget dengan menjawab pertanyaan dapat hadia gais ril terbukti membayar saya suka aplikasi survey ini. Semoga aplikasi ini dapat berkembang pesat dapat banyak yang mengunakan aplikasi populik
Hardyanti 94,4,2023-05-22 08:03:00,"Setelah di update kok jadi server error terus ya, isi survey pun jadi nggak bisa karna terus keluar2 sendiri"
Gina Rahima,4,2023-05-20 14:43:58,"Aplikasinya bagus sebagai penghasil uang tambahan, Banyakin lagi dong study nya biar cepat wd nya.... Tapi kok Aplikasinya sering minta update trus sihh🥲"
Ruly Septiana Star,5,2023-05-19 12:27:51,"Populix ini sebenarnya bagus buat cari cuan tambahan, tapi tolong dong kalo bisa isi tugasnya setiap hari jadi biar ada kegiatan juga yakan"
Kukuh budiarto,5,2023-05-19 10:31:29,"Mantap aplikasi terbukti membayar, saya sudah wd beberapa kali hampir 60k Wajib coba apk ini"
Khoiri Wahyuni,2,2023-05-13 03:26:37,"Suruh update Sudah di-update Pas dibuka, tulisannya masih sama suruh update Gituuuu terus"
Reza Dali,5,2023-05-12 20:21:13,Apk yg sangat recomendet bisa menghasilkan uang tugasnya gampang dan muda skali lagi makasi untuk develofersnya 😘😘🥰🥰🥰🥰
Guspita Armayani,5,2023-05-09 06:19:12,"Aplikasinya bagus dan rekomen banget, lumayan buat nambahin penghasilan buat para ibu rumah tangga yang momong anak sambil main populix. Keren pokoknya 👍👍"
Gw Ardhy Channel,3,2023-05-08 16:19:01,"apk yg diplay store g sinkron sama di store bawaan hp, di vivo store minta update setelah diupdate diplay storenya masih versi lama jd stiap masuk le apk minta pembaruan tp di play storenya blm ada update lagi"
Nabil Faridz,1,2023-05-05 13:36:31,Aplikasi apaan nih.. mau verifikasi nomor telepon saja gabisa-bisa. Error mulu.
Rizqon Khaerul anam,5,2023-05-04 09:09:08,"Aplikasi yg sangat bagus sebagai penghasil uang tambahan, banyak juga giveaway berhadiah setiap bulannya. Tampilannya simpel dan ringan, sehingga nyaman dipakai. Ada quis harian, survey, main game quis, dsb."
Rochimah Rochimah,2,2023-05-04 06:33:41,"Dapat chat WA disuruh mengerjakan, eh sudah tinggal mau selesai tiba2 gateway, disuruh ngulang lagi, dikerjakan lagi tiba2 close lalu dapat notifikasi ditolak. Kalau cuma sekali sih oke2 aja ya..Ini sering lho begini.. Jadi buang2 waktu aja"
Risa Ardianti,1,2023-05-01 01:04:03,Saya sangat kecewa dg aplikasi ini. Sudah setahun lebih instal tapi keuntungan yg diperoleh tidak seberapa. Sudah rajin isi poppoll tapi tidak pernah dapat kesempatan untuk mengisi studi. Alasannya belum ada studi yg sesuai kriteria. Saya hanya bisa memperoleh uang dari studi mingguan saja yg harganya receh. Apa iya aplikasi ini hanya aplikasi yg bertujuan memberi uang jika kita mengundang teman saja? Tolong hargai member setia!
Yulyanto Wibowo,1,2023-04-27 02:53:22,"Aplikasi yang harus isi data kriteria dulu baru dapet survey, giliran dapat survey tidak sesuai kriteria, penarikan dana juga error, aplikasi yang kurang bagus"
Sayyaf Lsw,1,2023-04-24 00:11:14,"Buat yang mau instal aplikasi ini saran saya pikir2 lagi, banyak erornya,tiba2 udah terkeluar dari akun dan harus login lagi,pertama2 downlod saya pikir aplikasi ini bagus ternyata tidak,menyesal saya downloadnya."
Endang Prasetyowati,3,2023-04-17 12:22:18,Notif saat ada survey tidak muncul di aplikasi jd pas buka dashboard sudah habis kuotanya ☹
Mahmuda,4,2023-04-16 05:30:21,"Awalnya aplikasi survei harian tidak ada masalah,dan sudah beberapa kali WD,,lumayan banget buat jajan,tapi sudah sebulan ini survei harian nggak muncul,padahal sudah di update aplikasinya,,dan nggak pernah dapet survei lagi,,populix kenapa ya???"
Leonel Haduaem,1,2023-04-14 17:43:07,"Semua pengguna keluhannya sama, survei sedikit. Begitu pun juga dengan saya, rewardnya pelit, udah lumayan terkumpul tapi nggak bisa nambah lagi. Udah gitu, sangat lama ngumpulinnya. Percuma, kalau tidak segera diperbaiki, semua pengguna bakalan cabut dari aplikasi ini."
Maulana Hasanudin,3,2023-04-10 00:23:48,Kenapa jarang muncul bidang studinnya.. Padahal setiap hari saya buka aplikasi ini.. . Untuk sementara saya kasih bintang 3 dullu.. . Karna bidang studi yg sangat jrang sekali muncul..
Muhammad Ghaisan,5,2023-04-08 08:25:17,Knpseteleh di update parah ini aplikasi nya malah gk bisa di withdraw kenapa ini developer nya gmn masalah ini mohon di perbaiki masa gk bisa narik uang 🙏🙏🙏🙏
Muhamad Hasan,5,2023-04-08 03:19:18,"Mantap banget sih ini populix, isi survey bisa menghasilkan cuan. Lumayan buat jajan-jajan cantik mah. 😁😘🤗"
Uci dwi jayanti chiessa,4,2023-04-06 10:47:12,"Kenapa sih bolak balik minta diupdate terus.padahal udah keupdate.sayang banget,padahal lumayan ngasilin uang"
faizatul ula,1,2023-04-04 17:14:00,"semakin di update malah semakin eror, tiap diklik studinya selalu tiba-tiba terkeluar sendiri"
Dhadoe Bear,1,2023-04-03 04:53:06,"Reward bagus tp utk dpt studi sulit ya percuma sama saja bohong kpn bisa ngumpulin reward utk ditarik,poling harian jg gk setiap hari bisa diisi utk dpt reward mingguan.Jadi Bintang satu utk apk ini udh cukup dan tambah bonus unistall..sekian n terima kasih."
Reva Silfaniaa,4,2023-03-31 16:15:02,"setiap buka apk nya disuruh upgrade terus pdhl udh di upgrade, mlhan di play store udh ga nyuruh upgrade, jdi ini gmna dong min? gabisa kebuka apk nya"
Dewika Ibrahim,1,2023-03-31 01:52:30,Halo Knp saya tidak bisa login padahal sudah input kode verification dg benar? Jd terhambat hanya dsitu saja. Aneh bgt tlg dpermudah.
Julia novita,4,2023-03-30 09:14:03,"Aplikasi bagus, selalu cair tapi dapet surveynya lama bgt."
Vito Syamsulwijaya,4,2023-03-28 03:16:29,"Sejauh ini,saya masih belum menarik apa apa dari populix dan studi di populix juga terhitung jarang muncul,tapi karna ketika saya chat adminnya,adminnya langsung tanggap jadinya saya kasih bintang 4 dulu untuk sementara,nanti kalo misalkan app ini terbukti membayar baru saya kasih bintang 5"
Yhant 370,1,2023-03-24 20:13:03,"Aplikasi aneh disaat saya uninstall banyak email masuk ngasih survey , eh setelah diinstall 1 minggu ga ada 1 survey pun yang masuk"
Muti Ph,1,2023-03-20 23:47:55,"Makin ke sini makin ke sana, awal"" thun pertama pakai bagus ga ada kendala, setelah itu mulai ngaco, sudah di update tapi tetap minta update ga bisa dibuka (harus install ulang), jarang bgt ada survey, sekalinya ada notifikasi telat jadi kehabisan kuota survey.."
Intan Indah,3,2023-03-20 23:28:13,"Bagian verifikasinya -data tidak sesuai; gambar ditolak oleh sistem- sulit ter-acc padahal sudah jelas/bisa terbaca dengan mata dan fitur costumer servicenya pun sepertinya eror. Nanti, kalau sistemnya sudah pulih. Ratingnya bisa saya perbaiki. Terima kasih."
Fauzia Ifani,5,2023-03-20 05:00:30,Menurut saya aplikasinya bagus dan reward nya cukup masuk akal. Selain itu juga ketika ada kesulitan baik dalam pendaftaran atau kendala lainnya ditangani dan dibantu dengan bijak. Yuk download!
Larasr31,2,2023-03-17 18:24:44,"Semenjak diperbarui malah selalu ada tulisan server error', padahal jaringan bagus. Polling harian jadi nggak bisa diklaim juga karna error'"
Elza Violeta,3,2023-03-17 11:36:04,"Kenapa tiba-tiba keluar akun pas mau ngisi studi yang muncul dr notif? Agak kecewa sih, jadi kehabisan kuota buat ngisi studi, keduluan yg lain. Semoga cepet diperbaiki developer😩"
Rizky Haris,1,2023-03-17 03:58:12,"apk lain kalo d update itu ada perbaikan,, lah apk ini d update malah jd pd ilang polling nya... untung udh d uninstall"
Chabibah Umi,4,2023-03-11 13:25:52,"Dulu kalo ngisi survey apapun jawaban qta selama itu jujur & masuk akal pasti dpet reward uang. Tapi semenjak ada poplite, tiap ngisi survey & ternyata dtengah2 pertanyaan ada yg gk sesuai dg yg diinginkan si pengirim survey, dapetnya cuman tiket aja gk dpet uang samsek. Jdi mrsa uda buang2 waktu aja"
KP - Ayu Anjani Suarsan,4,2023-03-09 02:44:32,"Baru coba selama 3 bulan sih menurutku bagus aplikasi survey ini lumayan dapet reward nya, walau sering telat dapet notif email nya jadi sering kehabisan kuota survey tp oke sih nyaman isi survey nya. Mimin chat nya juga gercep, banyakin lagi ya min surveynya dan pengen dapet lucky draw nya haha"
Anastasia Putri,5,2023-03-08 11:28:23,"Selama ini aku baru tau kalau ternyata suara kita itu berharga, apalagi cuma dengan jawab survei. Survei online yang ada di Populix juga sesuai kebutuhan👍"
Deni Merdi Simamora,5,2023-03-08 04:25:36,Worth it to try. Populix beneran kasih kita reward yang worth banget untuk isi waktu luang. Aku jadi nagih isi studi atau survei online yang ada di aplikasi Populix.
Saputra,3,2023-03-03 10:33:31,"Notifikasi untuk studi nya nggak pernah ada...tiba² udah ada di dashboard nya,ehhh pas di klik udh kelewatan....kapan dapat duitnya 🤣🤦🤦🤦"
Yan Sopyan,5,2023-03-03 05:13:39,"Populik aplikasi sangat bagus selama ini ,selama ikut aku merasakan nya walaupun pendapatan kecil ,hadiahnya sangat keren sekali ,semoga kedepan nya berlanjut terus amin ,sukses dan jaya selalu 👍👍👍👍👍🙏🙏🙏"
Citata Citata,1,2023-03-01 04:24:23,"bintang 1 dulu, setiap dapat email study pas di klik gak bisa alias kosong, udah gitu terlalu jarang untuk dapat study tersebut, mohon di sama ratakan dengan yg lain , jangan pilih kasih untuk pengguna"
Nunu Nugraha,5,2023-02-28 16:08:26,"Lumayan,sambil santai bisa menghasilkan cuan ya walaupun,recehan.tapi kalo dikumpulin kan nanti jadi jutaan.saran:banyakin aja study/surveynya min."
Ima Istiani,1,2023-02-28 03:32:04,Kenapa setiap isi poling harian error terus ? Isi survey juga error.Mau tarik dana pun tidak bisa . Bolak balik error .Meresahkan.Perbaiki sistemnya please.
Dety Feoh,5,2023-02-27 20:32:44,"Selain dapat reward dari setiap survey, disini saya merasa pendapat saya tersalurkan. Cuma sedih karena survey yg harganya besar gak ku dapat. Dapatnya yg di bawah seribu 😭"
Nanda Saputra,5,2023-02-27 10:10:53,Terima kasih 😁😁😁 survey Populix ini bagus untuk menghasilkan uang secara online hanya dengan cara mengisi sebuah survey. Dan survey nya juga mudah terima kasih
Muhammad Faizal,1,2023-02-27 00:01:18,proses verifikasi ktp selalu gagal sudah di bantu dengan flash hp pun tetap gagal
Rizka Fitriani,1,2023-02-26 12:08:47,"Baru masuk notif untuk ngerjain survey, masa langsung tidak bisa di klik. Aneh banget"
Nurmala Farihatunnisa,5,2023-02-24 10:46:28,Aplikasi survei yang mudah buat di kerjakan dan terbukti membayar.. 😊😊
Muhammad Hafiz,1,2023-02-22 04:27:46,"Selalu gagal bermain game nya, padahal Wifi-nya bisa buka aplikasi yt maupun lainnya"
MERY MARIANA FALLO,5,2023-02-20 03:07:47,Inibaplikasi keren bangat. Pas ada kendala respon admin nya cepat bangat... Aku suka suka dan suka sekali..
ikhsan tarmizi,4,2023-02-15 14:25:24,Sudah kembali normal. Tapi sering telat dapat survey padahal baru beberapa detik ada notif masuk
Syam Syamudra,5,2023-02-01 16:33:28,"Cocok banget buat yang mau cari penghasilan tambahan, ini aplikasi yang friendly banget.. survey nya bisa terbilang lebih mudah.. Salam saling menguntungkan kode reff 0625E-30 atau 0625E-31 Biar sama sama dapet cuan modal WD"
IchaNul Faith,5,2023-01-31 08:22:26,"Aplikasi yang menarik, sangat kekinian dengan survei-survei dan polling yang menambah wawasan dan pengetahuan serta menghasilkan rewad yang disukai semua kalangan/usia.😊🤗👍"
koko yadi,5,2023-01-28 04:54:24,"Aplikasi survey yang sangat bagus dan terbukti membayar, bisa dapat tiket undian juga👍"
Abidzar Soraya,5,2023-01-27 11:29:13,"aplikasi yang sangat menyenangkan , mudah digunakan dan banyak manfaat yang di dapatkan"
Reni Kosniawati,5,2023-01-27 10:43:19,Platform online yang bagus banget bermanfaat dan banyak untungnya. Wajib dikasih bintang 5 dunk. Smoga sukses selalu Populix. Done Ig @renikosniawati
Art_Juna Aldy,5,2023-01-27 10:37:11,"Lumayan buat cari sampingan nih, app mudah di gunakan.mantep"
Ratnaannarj,3,2023-01-24 12:29:42,"Aplikasinya habis update tampilan dll jadi ga bisa isi studi, polling harian juga bug ga respon cuma beralih ke blank putih"
2_08 Aliyah wilis,3,2023-01-23 12:51:44,"Sejak diperbarui, apk jadi sering lag setelah klik survey :(. Contohnya setelah klik pilihan survey kan harusnya muncul hasil, ini malah jadi putih semu tampilan apknya."
Rosa Antika,3,2023-01-20 10:21:10,"Tolong diperbaiki lagi dong pihak populix, sudah 2 bulan lebih saya gunakan aplikasi tulisannya ""mohon maaf telah terjadi kesalahan"". Dan sejak saat itu poin saya tidak bertambah"
Agen Neptunus,5,2023-01-17 22:58:37,"Tepat banget sih ngasih bintang 5 tuh. Studinya banyak, bayaran tiap studinya pun terbilang besar. Jadi ngumpulin saldonya ga gitu lama sekedar buat jajan doang mah. Ih, lop banget deh app ini. 🥰"
Elvi Handayani,2,2023-01-16 11:39:57,Aplikasi suka ngeblank setiap di-update parah banget di-update bukan jadi lebih baik malah jadi lebih buruk mending gak usah di-update sekalian jadi ketinggalan survei.
Indah Mulia,3,2023-01-16 06:49:11,Kenapa aplikasinya tidak bisa digunakan setelah mendapat email dari pihak populix yang disuruh memperbaharui data setelah di update malah aplikasinya menjadi warna putih
Seny Tri Pujianti,1,2023-01-16 03:47:19,"maaf ratingnya turun lagi, soalnya apknya ga jalan. udah coba di uninstall tetep aja ngeblank putih ga bisa di apa apain"
Lisa vista,5,2023-01-14 23:57:10,Aplikasinya bagus banget dan mudah dan bisa mengasilkan cuan juga i like it😍
Iqbal Syahla,5,2023-01-14 06:05:36,Bagus banget sih menurutku aplikasi ini karena udh pake cukup lama cuma kadang² suka ga bisa dibuka aplikasinya walaupun udah diuninstall ulang..untung Adminnya gercep ...the best deh..banyakin lagi ya Min surveinya...dan pengen jadi pemenang Lucky Drawnya belum pernah soalnya...Aamin
Fadil Prakoso,5,2023-01-13 22:46:00,"Aplikasi yang sangat luar biasa, Ada survei harian sehingga bisa menambah ilmu pengetahuan secara luas."
Ninkrum Handayani,5,2023-01-13 12:44:46,"Asalamualaikum Nama saya Ningrum, beneran ini Populix survei pengalaman yang luar bisa pastinya sesuai dengan kejujuran dan pengalaman saya pastinya bisa mendapatkan dana bisa yang ditarik dan tiket yang bisa ditukar dan juga studi setiap minggunya yang sesuai dengan aku sendiri Pokonya aku do'akan buat Populix semoga sehat-Sehat, berkah dan sukses selalu🤗"
Nihaowma Nii,5,2023-01-13 10:29:24,"Kecepatan landing hadiah tercepet si ini, kaya sepersekian detik langsung nyampe hadiahnya, cuma kuota survey nya dikit bgt jadi harus cepet dikerjain kalo engga ya ga bakal kebagian, pengen sekali² menang giveaway nya 😁"
Munawiroh Fitriana,4,2023-01-12 14:44:01,Tolong diperbaiki kemarin aplikasi masih bisa saya gunakan namun setelah dapat arah pihak populix agar bisa mengerjakan study disuruh uninstall dan install ulang malah aplikasi tidak bisa dibuka sama sekali. Saya pun ingin menarik Reward saya jadi tidak bisa update 12 januari 2023
Trisni Meila,5,2023-01-12 09:31:04,"Aplikasinya sangat bagus,ini apk nya lumayan bgt untuk ngisi waktu luang sambil menghasilkan uang"
Ramdzy Viko Rahman,3,2022-12-31 09:45:36,"Sudah update, tetep aja susah, khususnya program referal, saya sudah ngundang teman saya dan mereka sudah verifikasi Semuanya, dan sudah mengerjakan studi, tapi di saya tidak terdeteksi dan tidak dapat hadiah referal nya"
Benjamin Nehemia Sitinjak,1,2022-12-27 15:01:29,Mulai mengecewakan... Aplikasi minta update tapi dari PlayStore nya ga minta update... Tolong di perbaiki...
Teguh,1,2022-12-24 04:26:05,Setelah update tidak bisa ngerjain tugas dan suka eror mohon perbaiki lagi demi kenyamanan pengguna yg aktif
Felia Almira,5,2022-12-22 15:29:48,Gimana cara verifikasi ktp? Ko ada tulisan sudah dipakai? Padahal baru download. Untungnya cs reponsif Kalo sudah bisa saya naikin lagi bintangnya. Akhirnya sudah terverifikasi
Wiki Dewi yanti,3,2022-12-20 05:20:12,Sedih banget udah beberapa bulan ini sering error nggak tahu kenapa udah diikutin instruksinya masih error terus ayo dong diperbaiki lagi
Nurul Hayatun,3,2022-12-19 10:27:26,"Mimin yang skrg tidak rekomended, ketika di chat balas nya lama banget, bhkan sharian chat tdk d baca, shingga permslahan tdk teratasi dgn cpt, tidak seperti Mimin yang sblumnya, untuk Mimin baru skrg ak ksi bntng 3 dan mimin yang dlu aku ksi bintang 5, saya pengguna populix yang aktif dan sdah lama menggunakan apl populix"
Pradila Sandi,4,2022-12-01 15:33:56,Hari pertama surveynya banyak seneng dapet 10k perhari kemudia hari kedua dan ketiga mulai ga ada😂. Harus pake KTP dan skrg gue takut data gue bocor. Nyesel pake aplikasi ini waste my time.
Ion,3,2022-12-01 05:45:34,"Gak bisa di buka,klau pun bisa cuma terbuka sebagian.Gak bisa ngapa2in.Udah di uninstal msih saja bgitu.Mngkin udah sebulan begini terus."
Siti Arafah,5,2022-12-01 03:49:44,"Populix benar-benar luar biasa, banyak informasi baru yang bisa saya dapatkan."
Riana ropita Purba,2,2022-11-30 11:25:15,"Perasaan setiap saat, ini aplikasi minta di update terus. Hadeh, mau ngerjain study tiba tiba minta update..."
Ratmi Baim,1,2022-11-21 00:36:57,"Aplikasi gak jelas gak pernah ngelakuin planggaran di blokir gliran dah dapat lumayan mau narik malah diblokir klo gak niat ngasih reward gak usah bikin aplikasi skalian,,bikin org kecewa aja,,auto langsung uninstall"
Fina Septiana,1,2022-11-19 23:05:11,"udah update malah aplikasi nya gbisa dibuka, heran. jdi auto hapus trus install lgi deh jdi ga efisien aneh akun saya tbtb di blokir dgn alasan pelanggaran berat pdhl saya ga ngapa2in"
Muchamad Abdul cholik,1,2022-11-19 02:14:54,"Aplikasi gak jelas tiba2 blokir akun,pelanggaran berat ,pelanggaran dimananya baru seminggu ikutan, gk usah download bosok aplikasi"
yuri kiddos,3,2022-11-17 19:59:10,Kok jadi gabisa di buka aplikasinya setelah di update? Terus gimana dengan rewardnya?
Mici U,3,2022-11-17 04:58:29,"Saya gak bisa masuk populix karna di minta untuk update, tapi di playstore ya gak ada yg harus diupdate, tolong solusinya."
maisaroh locknlock,4,2022-11-14 11:13:56,Tolong diperbaiki kemarin aplikasi masih bisa saya gunakan namun setelah dapat arahan dari pihak Populix agar bisa mengerjakan study disuruh uninstall dan install ulang malah aplikasi tidak bisa dibuka sama sekali. Saya pun ingin menarik reward saya jd tidak bisa. Update 14 Nov 2022 akhirnya mimin di ig kirim link apknya... sudah bisa lagi walaupun agak kecewa sekian survey terlewat tp good respon lah miminnya...
Ade Aviska Arfandi,2,2022-11-09 23:07:10,Kenapa semenjak di update aplikanya tidak bisa terbuka? Udah dicoba beberapa kali tetap gabisa
Rei Nime,5,2022-11-01 15:09:49,"Wow beneran terbukti membayar, walaupun studi kadang ada yang bug dan tidak bisa dikerjakan tapi pembayaran WD instan langsung masuk ke e Wallet hitungan detik best for you Populix perbanyak studi lagi"
fajar setya,2,2022-10-26 02:09:48,Aplikasinya bagus Tapi anehnya di saya pas buka populix minta update. Nak di PlayStore ga ada updatenya
Baiq Laelatin Diniati,4,2022-10-24 09:15:43,"Tolong Populix ku kenapa. Pas dibuka disuruh update. Aku sudah update, tapi tetap aja di suruh update. Tolong diperbaiki"
Feni Harwati,5,2022-10-22 06:39:06,Aplikasinya bagus udah terbukti membayar masuk k akun ovo tp agak lama ngumpulin cuannya mantap lah pokoknya wajib download. Perlu d tambah lagi quiz dan pertanyaannya biar nambah banyak koin. Thanks developer sukses selalu
faris Hidayah,1,2022-10-20 00:41:57,Kok disuruh update terus. Tapi pas buka playstore tetap ga ada menu update
Dhika,2,2022-10-18 03:44:30,"Minta update tp gak bisa di update, di playstore aja gak ada notif update 🙃 mana masih ada saldonya"
Shanti Mutiara,2,2022-10-16 04:09:56,"Ini gimana konsep nya aplikasi minta di update terus, setelah itu aplikasi tidak bisa dibuka.. Please solusinya tim populix"
yohanes prabowo,1,2022-10-16 02:52:07,Suruh update tapi ga ada tulisan updatenya. Tolong diperbaiki
Ilham Febriansyah,1,2022-10-12 22:17:28,"Disuruh update tapi muncul ""an error occurred"" gajelas 🤷🏻‍♂️ Perbaiki dong.. kasian yg udh dapet banyak rewardnya.. Bnyak yg kecewa ."
DinTia Channel,1,2022-10-12 18:58:20,"Aplikasi nya bener kok membayar setelah kita rajin isi survey.. tapi sekarang setelah update malah error .. disuruh upgrade, ehh malah muncul an error uknown occured"
Nurul Ulusna,3,2022-10-10 03:06:49,Ini kok saya buka aplikasinya suruh update terus ya. Tapi pas ke playstore gaada pilihan update dan hanya ada tombol buka aplikasi. Tapi pas buka aplikasi balik lagi disuruh update. Ini gimana ya? Saya jadi gabisa buka aplikasinya.
Rizky Agustino,1,2022-10-06 11:21:42,ini aplikasi pas mau di buka mintanya di update tpi pas di cek di PlayStore gk ada update
81_104_Desy Widhi Astuti,1,2022-10-06 06:54:25,"Ada tulisan disuruh update, tertapi aplikasi saya sudah paling terupdate. Sehingga aplikasi tidak bisa digunakan. Mohon diperbaiki ya"
Epi Sopiah,2,2022-10-05 07:46:02,"Semenjak aplikasi ini d update jadi eror ,pas ada notif studi ga bisa dibuka ."
Adhietya Fh,5,2022-10-05 04:50:15,Gua seneng banget admin bantuan di aplikasi ini fast respon. Pokoknya ini aplikasi adalah aplikasi paling bagus soal survei.
KAIZE CRYPTO,1,2022-10-03 11:41:27,"wkwk daftar di persulit, gabakal maju app seperti ini, yang belum coba saran mending jangan daftar app ampas"
Moh. Nizar Rizkiana,1,2022-10-03 04:38:15,"G bisa isi survey, di aplikasi selalu ada peringanan ""update"" tapi pas di klik di arahin ke PlayStore dan di PlayStore tidak ada tombol untuk update adanya tombol buka, kalo di klik masuk ke aplikasi trus kalo klik update di aplikasi masuk ke PlayStore begitu seterusnya"
Mrs Muda,5,2022-10-01 00:10:21,"Sudah cukup lama instal apl populix,,sudah sering mengerjakan survei dan WD dari hasil reward,kemudian ada notif untuk update aplikasi,,tapi malah ga bisa kebuka sama sekali aplikasinya,,padahal masih ada saldo reward dari survei2 yg sudah saya isi,,gimana nih tim IT POPULIX Kenapa aplikasi saya ga bisa di update dan ga bisa di buka juga,semoga di respon Thanks."
Yessy Wirmawati,3,2022-09-30 00:45:23,"Diaplikasinya disuruh update, tpi gak tau mau update dimna😭😅 Pas buka playstore tdk ada tombol update...."
ARIEF RAMDHANI,1,2022-09-29 18:02:09,"di aplikasi di suruh update, Tapi pas langsung diarahkan aplikasi untuk Buka PlayStore gak ada update sama sekali gimana ini?"
Ulfiana S,4,2022-09-29 17:28:39,Udah isi survey full eehhh gak ada reward apapun. Padahal udah jujur isinya. Beberapa kali kaya gitu. Konsisten juga ngisinya padahal. Kalo emang mau ditolak setidaknya hargai waktu kami sedikit kali ya kasih lah reward dikit. Atau sekalian aja dari awal buka app gak masuk kriteria gitu jd gak wasting time. Thanks
Mela Leni,1,2022-09-29 01:04:44,"Ini bug populix di benerin dong, sering banget suruh update tapi udah di update. Alhasil harus uninstal trs instal lagi, ngerepotin banget kalo harus gitu terus. Ini udah kejadian yg kedua."
Ameliatus sholicha,3,2022-09-28 17:45:18,Tgl 28 wktu buka apknya harus update dlu trus d arahin k play store tpi disitu gada tulisan update nya trus gmna ini cara masuknya kalok kayak gitu terus
Hikmah Wijayanti,2,2022-09-28 13:55:51,"Kok jd ga bisa dibuka ya, padahal sudah update di playstorenya, tolong dong di perbaiki"
Nahdlatul Ummah,4,2022-09-28 12:08:10,"Di aplikasi ny suruh update, tp pas buka di ps kok ngga bisa diupdate ya *dan terjadi lagi"
Fadly Syam,3,2022-09-28 09:44:19,"Kenapa Susah Sekali Masuk, Setiap Mau Masuk Di Minta Di Update, Tapi Buka Ke Play Strore Justru Ndak Ada Ketentuan Untuk Update.... Kok Malah Bikin Bingung..."
Berliana Laowo,3,2022-09-28 09:08:12,"Aku udh lama pake populix, skrng di mintai update, di update kok malah kaga bisa terus muncul dilayar populix update-annya malah balek Mulu play store populix tiap teken update. Gimanasihh"
Alexandra Ruszaika,2,2022-09-28 05:59:14,Tolong jangan dikit2 update.... Memori tidak cukup terus... Kasian yg hpnya ram nya kecil 🥵🤬 Klo tidak dikit2 update akan saya tambah bintang
AYAM TALIWANG (LOMBOK),4,2022-09-27 10:24:23,"saya suka dengan aplikasi survey ini dan sudah lumayan lama menggunakannya,sudah mulai nyaman,dan menjadi aktivitas sampingan saya saat kerja tapi setelah saya update pada tanggal 27 september ini kok malah ngga bisa di buka aplikasinya mental terus, saya bakal kasih bintang 5 jika kendala saya di perbaiki, mohon untuk di tindak karna saya sudah nyaman,tolong ya"
Naila Khansa,4,2022-09-17 21:53:28,"Verifikasi agak sulit, khususnya saat foto KTP dan daftar ulang pakai email yang berbeda, namun dikatakan email tersebut sudah didaftarkan, padahal itu email baru"
DWIKA TEL (Dwika tel),5,2022-09-15 23:14:14,"Baru pertama sih , sangat baik untuk digunakan, masih awal jadi lancar lancar saja tidak ada kendala, hanya disuruh isi survey, semoga ga ada kendala"
Yeni Nurkomalasari,5,2022-09-15 02:36:08,"Aplikasi Survey ini sangat bermanfaat sekali,menambah wawasan dan pastinya seru ada gamesnya juga.Makanya buruan download dan rasanya keseruannya."
Ari Widodo,5,2022-09-05 07:36:40,woww sangt membantu sekali untuk pemasukan tambahan.. dr pada kouta internet di pakai untuk hal hal yg negatif.. sangat bagus sekali...
Desita Yuwono,5,2022-09-02 10:40:36,"Aplikasinya bagus, rekomen banget buat yang butuh receh untuk beli pulsa atau jajan. Studinya juga kadang banyak, dan sekalinya banyak / sering nilainya lumayan walaupun terbatas studinya. Cs/tim-nya juga ramah, baik dan membantu banget kalo ada apa-apa, jadi aku kasih bintang lima yaaah❤"
Lutfy Fajar Hudayah,3,2022-09-01 04:54:59,Tiap kali bisa ngisi survey pas diklik pertanyaannya ga muncul otomatis ga bs ngisi dan tb2 aja kembali ke dashboard. Kemudian dpt notifikasi jawaban ditolak. Sdh sering kejadian seperti itu. Jd ga semangat ngisi
Hadiatan Wasilah,3,2022-09-01 02:27:20,"Memang terbukti membayar, hanya saja sering sekali survey yang baru masuk tidak bisa dikerjakan. Muncul notif survei, tapi setelah di klik hanya muncul layar putih polos. Ujung-ujungnya dapat notif tidak menyelesaikan survei diwaktu yang ditentukan. Boro-boro mengerjakan, buka surveinya aja gak pernah bisa. Kadang diminta update aplikasi, tapi di playstore tidak ada update yg harus dilakukan."
Listya Aldita putri,5,2022-09-01 02:07:08,Buka aplikas populix di suruh update tp di playstore ga ada bacaan utk klik update yg ada cuma buka sm uninstall.. gmna sech min 😤
